route_id,is_pulse,weekday_trips,avg_speed_kmh,avg_distance_km,avg_n_stops,stops_per_km,median_headway_min,p90_headway_min,headway_cov,peak_trip_share,weekday_service_hours,bucket,diagnosis
900,True,167,27.6,27.4,53.8,1.96,12.0,15.2,0.2,0.4,165.9,A,"Frequent backbone - protect & invest, tighten regularity"
920,False,101,31.2,38.4,59.1,1.54,20.0,25.0,0.3,0.43,124.3,B,"Frequent candidate - promote to 15-min, consolidate stops"
916,True,108,30.4,30.1,66.2,2.2,20.0,25.0,0.13,0.41,106.9,A,PULSE corridor - lift to true 15-min all-day standard
915,True,106,32.9,31.3,55.5,1.77,20.0,24.7,0.14,0.41,100.8,A,PULSE corridor - lift to true 15-min all-day standard
901,True,200,22.7,10.9,25.7,2.35,10.0,20.0,0.5,0.41,96.2,A,"Frequent backbone - protect & invest, tighten regularity"
905,False,117,32.7,26.7,50.8,1.9,15.0,30.0,0.49,0.42,95.5,B,"Stable base route - retime if CoV high, else maintain"
902,False,96,25.0,24.0,46.6,1.94,20.0,30.0,0.22,0.42,92.1,B,"Frequent candidate - promote to 15-min, consolidate stops"
917,False,86,26.1,24.0,48.5,2.02,30.0,35.0,0.14,0.37,79.3,B,"Stable base route - retime if CoV high, else maintain"
302,False,85,30.8,24.6,48.7,1.98,30.0,30.0,0.29,0.47,67.8,B,"Stable base route - retime if CoV high, else maintain"
921,False,39,33.7,45.1,32.6,0.72,20.0,20.0,2.29,0.83,52.1,C,Coverage commuter - cut to peak-only or interline for 15-min combined
407,False,67,28.2,19.3,43.8,2.27,30.0,40.0,0.24,0.38,45.8,B,"Stable base route - retime if CoV high, else maintain"
421,False,57,27.4,21.9,44.2,2.02,30.0,40.9,0.2,0.39,45.6,B,"Stable base route - retime if CoV high, else maintain"
216,False,101,26.5,11.6,33.7,2.9,16.0,30.0,0.39,0.48,44.4,B,"Stable base route - retime if CoV high, else maintain"
121,False,68,27.8,17.6,37.2,2.12,30.0,30.0,0.06,0.39,43.0,B,"Stable base route - retime if CoV high, else maintain"
405,False,66,28.9,15.3,39.5,2.58,30.0,32.0,0.08,0.42,35.0,B,"Stable base route - retime if CoV high, else maintain"
410,False,74,27.3,12.8,42.5,3.31,30.0,30.0,0.05,0.4,34.8,B,"Stable base route - retime if CoV high, else maintain"
224,False,68,27.6,14.1,38.6,2.74,30.0,30.9,0.07,0.4,34.8,B,"Stable base route - retime if CoV high, else maintain"
502,False,66,29.7,15.7,29.8,1.9,30.0,31.8,0.23,0.44,34.8,B,"Stable base route - retime if CoV high, else maintain"
403,False,87,28.9,11.5,26.9,2.33,30.0,30.0,0.48,0.47,34.7,B,"Stable base route - retime if CoV high, else maintain"
N1,False,31,38.5,42.9,80.5,1.87,,,,,34.6,B,"Stable base route - retime if CoV high, else maintain"
618,False,18,47.1,80.6,36.8,0.46,90.0,126.0,0.23,0.5,30.8,D,Marginal - candidate for On Demand conversion
409,False,65,31.7,14.7,27.2,1.85,30.0,30.0,0.04,0.42,30.2,B,"Stable base route - retime if CoV high, else maintain"
112,False,56,35.2,18.2,28.5,1.57,30.0,33.0,0.09,0.45,28.9,B,"Stable base route - retime if CoV high, else maintain"
423,False,54,28.9,14.0,42.0,3.01,30.0,30.0,0.05,0.44,26.1,B,"Stable base route - retime if CoV high, else maintain"
419,False,65,23.3,9.0,17.4,1.93,30.0,30.5,0.05,0.41,25.2,B,"Stable base route - retime if CoV high, else maintain"
118,False,55,35.6,13.4,17.5,1.31,30.0,33.0,0.09,0.44,20.7,B,"Stable base route - retime if CoV high, else maintain"
227,False,25,25.5,20.0,47.5,2.38,30.0,78.3,1.7,0.86,19.6,D,Marginal - candidate for On Demand conversion
319,False,56,31.6,10.4,26.2,2.53,30.0,33.0,0.08,0.44,18.4,B,"Stable base route - retime if CoV high, else maintain"
301,False,53,32.7,10.6,27.3,2.59,30.0,43.2,0.18,0.41,17.1,B,"Stable base route - retime if CoV high, else maintain"
N2,False,37,33.1,14.8,31.2,2.1,,,,,16.6,B,"Stable base route - retime if CoV high, else maintain"
211,False,26,27.6,12.2,30.8,2.53,30.0,146.4,1.3,0.76,11.5,D,Marginal - candidate for On Demand conversion
505,False,30,26.4,8.9,12.2,1.38,30.0,30.0,1.87,0.72,10.1,D,Marginal - candidate for On Demand conversion
605,False,21,25.9,10.3,27.0,2.61,44.0,60.0,0.34,0.42,8.4,D,Marginal - candidate for On Demand conversion
392,False,53,24.0,3.2,8.5,2.66,30.0,30.0,0.07,0.45,7.1,B,"Stable base route - retime if CoV high, else maintain"
507,False,12,42.0,21.1,18.3,0.87,60.0,522.2,1.18,0.73,6.0,D,Marginal - candidate for On Demand conversion
101,False,16,29.3,10.1,24.5,2.43,30.0,30.0,0.07,0.62,5.5,D,Marginal - candidate for On Demand conversion
306,False,12,31.4,14.0,28.0,2.0,30.0,31.4,0.04,0.83,5.4,D,Marginal - candidate for On Demand conversion
315,False,11,29.8,5.5,11.0,2.01,30.0,80.9,1.71,0.82,2.0,D,Marginal - candidate for On Demand conversion
